model,developer,release_date,parameters,parameter_source,training_flop,confidence,confidence_explanation,estimation_method,alternative_methods,threshold_classification,reasoning,sources,verified,last_updated,blacklist_status,notes
gpt_5,OpenAI,,,,5.47e+25,medium,Good benchmark match with multiple agreeing sources,benchmark_based,,,Multi-benchmark estimation from 5 benchmarks: superclue_overall: 5.94e+25 (Medium); superclue_math: 5.70e+25 (Medium); superclue_reasoning: 2.77e+25 (Medium); superclue_code: 6.24e+25 (Medium); superclue_agents: 6.69e+25 (Medium) → weighted average: 5.47e+25 FLOP,https://www.superclueai.com/ (SuperCLUE - Comprehensive Chinese language understanding benchmark),y,2025-08-11T21:33:30.642316,allowed,Manual review - confirmed above 1e25 FLOP. Reason: I just know GPT5 must be big!
o3,OpenAI,,,,5.3299999999999995e+25,low,Distant benchmark interpolation or single source,benchmark_based,,high_confidence_above_1e25,Multi-benchmark estimation from 5 benchmarks: superclue_overall: 5.64e+25 (Low); superclue_math: 6.62e+25 (Low); superclue_reasoning: 3.52e+25 (Low); superclue_code: 5.53e+25 (Low); superclue_agents: 5.36e+25 (Low) → weighted average: 5.33e+25 FLOP,https://www.superclueai.com/ (SuperCLUE - Comprehensive Chinese language understanding benchmark),,2025-08-15T20:32:45.045511,allowed,
grok_3,xAI,,,,4.99e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,Multi-benchmark estimation from 4 benchmarks: openlm_arena_elo: 5.15e+25 (Low); coding_score: 5.17e+25 (Low); aai_score: 4.90e+25 (Low); mmlu_pro_score: 4.73e+25 (Low) → weighted average: 4.99e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.046713,allowed,
gemini_2.5_pro,Google,,,,4.86e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,Multi-benchmark estimation from 5 benchmarks: superclue_overall: 4.76e+25 (Low); superclue_math: 5.20e+25 (Low); superclue_reasoning: 2.57e+25 (Low); superclue_code: 5.30e+25 (Low); superclue_agents: 6.47e+25 (Low) → weighted average: 4.86e+25 FLOP,https://www.superclueai.com/ (SuperCLUE - Comprehensive Chinese language understanding benchmark),,2025-08-15T20:32:45.045308,allowed,
gpt_4.1,OpenAI,,,,4.84e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,Multi-benchmark estimation from 4 benchmarks: openlm_arena_elo: 4.68e+25 (Low); coding_score: 4.72e+25 (Low); aai_score: 5.12e+25 (Low); mmlu_pro_score: 4.83e+25 (Low) → weighted average: 4.84e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.046986,allowed,
claude_sonnet_4,Anthropic,,,,4.7699999999999994e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,Multi-benchmark estimation from 4 benchmarks: openlm_arena_elo: 4.28e+25 (Low); coding_score: 4.60e+25 (Low); aai_score: 4.90e+25 (Low); mmlu_pro_score: 5.31e+25 (Low) → weighted average: 4.77e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.047723,allowed,
chatgpt_4o,OpenAI,,,,4.7e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,Multi-benchmark estimation from 4 benchmarks: openlm_arena_elo: 5.19e+25 (Low); coding_score: 5.11e+25 (Low); aai_score: 3.71e+25 (Low); mmlu_pro_score: 4.79e+25 (Low) → weighted average: 4.70e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.045692,allowed,
claude_opus_4_thinking_16k,Anthropic,,,,4.5799999999999996e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,"Benchmark-based (lmarena_score): 1421.0 vs reference llama_3.1_405b (1335.0, 3.80e+25 FLOP) with α=3.0 = 4.58e+25 FLOP",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.046088,allowed,
kimi_k2_preview,Moonshot,,,,4.55e+25,medium,,benchmark_based,,not_sure,"Benchmark-based (openlm_arena_elo): Benchmark-based estimation: ELO 1380.0 vs reference llama_405b (ELO 1300, 3.80e+25 FLOP) with power law scaling α=3.0 = 4.55e+25 FLOP",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),y,2025-08-01T15:52:05.757110,,Manual review - confirmed above 1e25 FLOP. Reason: Example reasoning
claude_3_7_sonnet,Anthropic,,,,4.47e+25,medium,,benchmark_based,,not_sure,"Benchmark-based (lmarena_score): Benchmark-based estimation: ELO 1372.0 vs reference llama_405b (ELO 1300, 3.80e+25 FLOP) with power law scaling α=3.0 = 4.47e+25 FLOP",LMArena Manual Data Collection (CSV file with manually collected leaderboard data),y,2025-08-01T17:43:00.800819,,Manual review - confirmed above 1e25 FLOP. Reason: This is a big model... pretty sure it's over 1e25 flop
gemini_2.0_pro,Google,,,,4.439999999999999e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,Multi-benchmark estimation from 4 benchmarks: openlm_arena_elo: 4.87e+25 (Low); coding_score: 4.72e+25 (Low); aai_score: 3.35e+25 (Low); mmlu_pro_score: 4.82e+25 (Low) → weighted average: 4.44e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.077145,allowed,
claude_sonnet_4_thinking_32k,Anthropic,,,,4.379999999999999e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,"Benchmark-based (lmarena_score): 1400.0 vs reference llama_3.1_405b (1335.0, 3.80e+25 FLOP) with α=3.0 = 4.38e+25 FLOP",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.047064,allowed,
gemini_2.5_flash_lite,Google,,,,4.32e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,Multi-benchmark estimation from 2 benchmarks: aai_score: 4.49e+25 (Low); mmlu_pro_score: 4.16e+25 (Low) → weighted average: 4.32e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.078180,allowed,
gpt_4.1_mini,OpenAI,,,,4.32e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,Multi-benchmark estimation from 4 benchmarks: openlm_arena_elo: 4.27e+25 (Low); coding_score: 4.45e+25 (Low); aai_score: 4.09e+25 (Low); mmlu_pro_score: 4.47e+25 (Low) → weighted average: 4.32e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.048450,allowed,
qwen3_coder_480b,Alibaba,,480000000000.0,known_specification:qwen3_coder_480b,4.32e+25,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 4.63e+25 (Low),uncertain,"Known model specification 'qwen3_coder_480b': Chinchilla scaling law: 6 × 480,000,000,000 params × 15,000,000,000,000 tokens = 4.32e+25 FLOP",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.047447,allowed,
claude_3_7_sonnet_thinking_32k,Anthropic,,,,4.26e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,"Benchmark-based (lmarena_score): 1387.0 vs reference llama_3.1_405b (1335.0, 3.80e+25 FLOP) with α=3.0 = 4.26e+25 FLOP",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.047814,allowed,
o1_preview,OpenAI,,,,4.24e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,"Benchmark-based (lmarena_score): 1385.0 vs reference llama_3.1_405b (1335.0, 3.80e+25 FLOP) with α=3.0 = 4.24e+25 FLOP",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.047907,allowed,
mistral_medium_3,Mistral,,,,4.2299999999999994e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,Multi-benchmark estimation from 4 benchmarks: openlm_arena_elo: 4.58e+25 (Low); coding_score: 4.63e+25 (Low); aai_score: 3.52e+25 (Low); mmlu_pro_score: 4.17e+25 (Low) → weighted average: 4.23e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.077809,allowed,
o1_mini,OpenAI,,,,4.18e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,Multi-benchmark estimation from 4 benchmarks: openlm_arena_elo: 4.10e+25 (Low); coding_score: 4.42e+25 (Low); aai_score: 4.28e+25 (Low); mmlu_pro_score: 3.93e+25 (Low) → weighted average: 4.18e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.053899,allowed,
claude_opus_4_reasoning,Anthropic,,,,4.1e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,Multi-benchmark estimation from 5 benchmarks: superclue_overall: 4.43e+25 (Low); superclue_math: 3.09e+25 (Low); superclue_reasoning: 1.83e+25 (Low); superclue_code: 4.99e+25 (Low); superclue_agents: 6.18e+25 (Low) → weighted average: 4.10e+25 FLOP,https://www.superclueai.com/ (SuperCLUE - Comprehensive Chinese language understanding benchmark),,2025-08-15T20:32:45.090923,allowed,
gemini_2.0_flash_001,Google,,,,4.07e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,"Benchmark-based (lmarena_score): 1366.0 vs reference llama_3.1_405b (1335.0, 3.80e+25 FLOP) with α=3.0 = 4.07e+25 FLOP",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.049025,allowed,
claude_3.7_sonnet,Anthropic,,,,4.0199999999999995e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,Multi-benchmark estimation from 4 benchmarks: openlm_arena_elo: 3.93e+25 (Low); coding_score: 4.18e+25 (Low); aai_score: 3.17e+25 (Low); mmlu_pro_score: 4.79e+25 (Low) → weighted average: 4.02e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.078588,allowed,
qwen2.5_max,Alibaba,,,,3.9799999999999995e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,Multi-benchmark estimation from 4 benchmarks: openlm_arena_elo: 4.56e+25 (Low); coding_score: 4.49e+25 (Low); aai_score: 2.68e+25 (Low); mmlu_pro_score: 4.20e+25 (Low) → weighted average: 3.98e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.048723,allowed,
claude_3_5_sonnet,Anthropic,,,,3.8399999999999997e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,"Benchmark-based (lmarena_score): 1340.0 vs reference llama_3.1_405b (1335.0, 3.80e+25 FLOP) with α=3.0 = 3.84e+25 FLOP",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.048924,allowed,
gpt_4o,OpenAI,,1760000000000.0,known_specification:gpt_4o,3.7999999999999996e+25,medium,Reliable research estimate from industry analysis,epoch_estimate,Scaling Laws: 1.37e+26 (Medium); Benchmark Based: 3.88e+25 (Low),uncertain,https://epoch.ai/data-insights/models-over-1e25-flop: Low-precision estimate from OpenAI patterns,https://www.superclueai.com/ (SuperCLUE - Comprehensive Chinese language understanding benchmark),,2025-08-15T20:32:45.053508,allowed,
llama_3.1_405b,Meta,,405000000000.0,known_specification:llama_3.1_405b,3.7999999999999996e+25,high,Official disclosure or high-precision research estimate,epoch_estimate,Scaling Laws: 3.65e+25 (High),uncertain,https://epoch.ai/data-insights/models-over-1e25-flop: High-precision estimate from Meta disclosure,https://gair-nlp.github.io/OlympicArena (OlympicArena - Chinese LLM benchmark across STEM subjects),,2025-08-15T20:32:45.076283,allowed,
gemini_advanced,Google,,,,3.7699999999999996e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,"Benchmark-based (lmarena_score): 1332.0 vs reference llama_3.1_405b (1335.0, 3.80e+25 FLOP) with α=3.0 = 3.77e+25 FLOP",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.054377,allowed,
amazon_nova_chat_05_14,Amazon,,,,3.7299999999999995e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,Multi-benchmark estimation from 4 benchmarks: openlm_arena_elo: 4.14e+25 (Low); coding_score: 4.14e+25 (Low); aai_score: 2.84e+25 (Low); mmlu_pro_score: 3.81e+25 (Low) → weighted average: 3.73e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.078463,allowed,
grok_2_mini_08_13,xAI,,,,3.7e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,Multi-benchmark estimation from 2 benchmarks: openlm_arena_elo: 3.77e+25 (Low); coding_score: 3.63e+25 (Low) → weighted average: 3.70e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.086892,allowed,
magistral_medium,Mistral,,,,3.7e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,Multi-benchmark estimation from 4 benchmarks: openlm_arena_elo: 3.51e+25 (Low); coding_score: 3.87e+25 (Low); aai_score: 3.35e+25 (Low); mmlu_pro_score: 4.08e+25 (Low) → weighted average: 3.70e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.057835,allowed,
gemini_1.5_pro_002,Google,,,,3.68e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,Multi-benchmark estimation from 4 benchmarks: openlm_arena_elo: 4.11e+25 (Low); coding_score: 3.91e+25 (Low); aai_score: 2.68e+25 (Low); mmlu_pro_score: 4.04e+25 (Low) → weighted average: 3.68e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.051391,allowed,
gemini_1.5_pro_001,Google,,,,3.67e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,"Benchmark-based (lmarena_score): 1320.0 vs reference llama_3.1_405b (1335.0, 3.80e+25 FLOP) with α=3.0 = 3.67e+25 FLOP",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.055896,allowed,
qwen_max,Alibaba,,,,3.67e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,Multi-benchmark estimation from 5 benchmarks: superclue_overall: 4.02e+25 (Low); superclue_math: 3.91e+25 (Low); superclue_reasoning: 1.98e+25 (Low); superclue_code: 4.28e+25 (Low); superclue_agents: 4.15e+25 (Low) → weighted average: 3.67e+25 FLOP,https://www.superclueai.com/ (SuperCLUE - Comprehensive Chinese language understanding benchmark),,2025-08-15T20:32:45.056390,allowed,
amazon_nova_experimental_chat_05_14,Amazon,,,,3.66e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,"Benchmark-based (lmarena_score): 1318.0 vs reference llama_3.1_405b (1335.0, 3.80e+25 FLOP) with α=3.0 = 3.66e+25 FLOP",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.056013,allowed,
claude_3_5_haiku,Anthropic,,,,3.65e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,"Benchmark-based (lmarena_score): 1317.0 vs reference llama_3.1_405b (1335.0, 3.80e+25 FLOP) with α=3.0 = 3.65e+25 FLOP",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.056741,allowed,
qwen2.5_plus,Alibaba,,,,3.6299999999999998e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,"Benchmark-based (lmarena_score): 1315.0 vs reference llama_3.1_405b (1335.0, 3.80e+25 FLOP) with α=3.0 = 3.63e+25 FLOP",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.056641,allowed,
claude_3.5_sonnet,Anthropic,,,,3.5999999999999997e+25,medium,,company_disclosure,,not_sure,Epoch AI: Low-precision estimate from benchmarks,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),y,2025-07-31T18:56:49.506343,,
grok_2_mini,xAI,,,,3.5699999999999997e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,"Benchmark-based (lmarena_score): 1307.0 vs reference llama_3.1_405b (1335.0, 3.80e+25 FLOP) with α=3.0 = 3.57e+25 FLOP",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.058077,allowed,
gpt_4_preview,OpenAI,,,,3.5499999999999996e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,Multi-benchmark estimation from 2 benchmarks: openlm_arena_elo: 3.63e+25 (Low); coding_score: 3.48e+25 (Low) → weighted average: 3.55e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.057117,allowed,
gemini_2.0_flash_lite,Google,,,,3.5399999999999996e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,Multi-benchmark estimation from 4 benchmarks: openlm_arena_elo: 4.21e+25 (Low); coding_score: 4.15e+25 (Low); aai_score: 2.09e+25 (Low); mmlu_pro_score: 3.70e+25 (Low) → weighted average: 3.54e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.050934,allowed,
mistral_small,Mistral,,,,3.5399999999999996e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,Multi-benchmark estimation from 4 benchmarks: openlm_arena_elo: 4.25e+25 (Low); coding_score: 4.37e+25 (Low); aai_score: 2.37e+25 (Low); mmlu_pro_score: 3.17e+25 (Low) → weighted average: 3.54e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.051941,allowed,
qwen_plus,Alibaba,,,,3.4599999999999995e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,Multi-benchmark estimation from 2 benchmarks: openlm_arena_elo: 3.42e+25 (Low); coding_score: 3.49e+25 (Low) → weighted average: 3.46e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.052574,allowed,
deepseek_v2_api,DeepSeek,,,,3.44e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,Multi-benchmark estimation from 2 benchmarks: openlm_arena_elo: 3.41e+25 (Low); coding_score: 3.47e+25 (Low) → weighted average: 3.44e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.087382,allowed,
gemini_1.5_flash_001,Google,,,,3.38e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,"Benchmark-based (lmarena_score): 1284.0 vs reference llama_3.1_405b (1335.0, 3.80e+25 FLOP) with α=3.0 = 3.38e+25 FLOP",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.059746,allowed,
grok_2_08_13,xAI,,,,3.2699999999999996e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,Multi-benchmark estimation from 4 benchmarks: openlm_arena_elo: 3.98e+25 (Low); coding_score: 3.79e+25 (Low); aai_score: 1.82e+25 (Low); mmlu_pro_score: 3.51e+25 (Low) → weighted average: 3.27e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.079055,allowed,
gpt_4.1_nano,OpenAI,,,,3.18e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,Multi-benchmark estimation from 4 benchmarks: openlm_arena_elo: 3.81e+25 (Low); coding_score: 3.92e+25 (Low); aai_score: 2.09e+25 (Low); mmlu_pro_score: 2.90e+25 (Low) → weighted average: 3.18e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.055418,allowed,
amazon_nova_pro,Amazon,,,,3.12e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,Multi-benchmark estimation from 4 benchmarks: openlm_arena_elo: 3.59e+25 (Low); coding_score: 3.65e+25 (Low); aai_score: 1.95e+25 (Low); mmlu_pro_score: 3.29e+25 (Low) → weighted average: 3.12e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.059103,allowed,
gpt_4_turbo,OpenAI,,,,3.12e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,Multi-benchmark estimation from 4 benchmarks: openlm_arena_elo: 3.70e+25 (Low); coding_score: 3.64e+25 (Low); aai_score: 1.82e+25 (Low); mmlu_pro_score: 3.33e+25 (Low) → weighted average: 3.12e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.055569,allowed,
gemini_1.5_flash_002,Google,,,,3.1e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,Multi-benchmark estimation from 4 benchmarks: openlm_arena_elo: 3.84e+25 (Low); coding_score: 3.58e+25 (Low); aai_score: 1.82e+25 (Low); mmlu_pro_score: 3.16e+25 (Low) → weighted average: 3.10e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.057556,allowed,
mistral_large,Mistral,,,,3.0899999999999998e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,Multi-benchmark estimation from 4 benchmarks: openlm_arena_elo: 3.65e+25 (Low); coding_score: 3.67e+25 (Low); aai_score: 1.69e+25 (Low); mmlu_pro_score: 3.36e+25 (Low) → weighted average: 3.09e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.057688,allowed,
gemini_pro_dev_api,Google,,,,2.9999999999999996e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,"Benchmark-based (lmarena_score): 1234.0 vs reference llama_3.1_405b (1335.0, 3.80e+25 FLOP) with α=3.0 = 3.00e+25 FLOP",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.063143,allowed,
grok_2,xAI,,,,2.9999999999999996e+25,high,Official disclosure or high-precision research estimate,epoch_estimate,Benchmark Based: 3.77e+25 (Low),uncertain,https://epoch.ai/data-insights/models-over-1e25-flop: High-precision estimate from xAI disclosure,CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.054493,allowed,
gpt_4o_mini,OpenAI,,,,2.9799999999999996e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,Multi-benchmark estimation from 5 benchmarks: superclue_overall: 3.20e+25 (Low); superclue_math: 2.52e+25 (Low); superclue_reasoning: 1.32e+25 (Low); superclue_code: 3.27e+25 (Low); superclue_agents: 4.59e+25 (Low) → weighted average: 2.98e+25 FLOP,https://www.superclueai.com/ (SuperCLUE - Comprehensive Chinese language understanding benchmark),,2025-08-15T20:32:45.056989,allowed,
gemini_pro,Google,,,,2.91e+25,low,Distant benchmark interpolation or single source,benchmark_based,,uncertain,"Benchmark-based (lmarena_score): 1222.0 vs reference llama_3.1_405b (1335.0, 3.80e+25 FLOP) with α=3.0 = 2.91e+25 FLOP",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.063661,allowed,
