model,developer,release_date,parameters,parameter_source,training_flop,confidence,confidence_explanation,estimation_method,alternative_methods,threshold_classification,reasoning,sources,verified,last_updated,notes,blacklist_status
command_r_plus,Cohere,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 3.24e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Smaller AI company with limited computational budget for frontier models,CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.061248,,allowed
command_r_plus_08,Cohere,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 3.36e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Smaller AI company with limited computational budget for frontier models,CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.060108,,allowed
dbrx_instruct_preview,Databricks,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 2.56e+25 (Low),high_confidence_below_1e25,"FLOP estimate capped at 9.9e+24 due to resource constraint policy: Focus on enterprise solutions, limited frontier model training resources",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.069861,,allowed
doubao_pro,ByteDance,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 3.49e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Limited evidence of 1e25+ FLOP computational budget allocation,https://www.superclueai.com/ (SuperCLUE - Comprehensive Chinese language understanding benchmark),,2025-08-15T20:32:45.091268,,allowed
doubao_seed_1.6,ByteDance,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 4.90e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Limited evidence of 1e25+ FLOP computational budget allocation,https://www.superclueai.com/ (SuperCLUE - Comprehensive Chinese language understanding benchmark),,2025-08-15T20:32:45.090846,,allowed
glm,Zhipu AI,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 5.76e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Limited computational resources for 1e25+ FLOP training runs,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.076789,,allowed
glm_4,Zhipu AI,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 3.07e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Limited computational resources for 1e25+ FLOP training runs,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.060561,,allowed
glm_4.5_air,Zhipu AI,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 5.08e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Limited computational resources for 1e25+ FLOP training runs,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.077486,,allowed
glm_4_flash,Zhipu AI,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 2.60e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Limited computational resources for 1e25+ FLOP training runs,https://www.superclueai.com/ (SuperCLUE - Comprehensive Chinese language understanding benchmark),,2025-08-15T20:32:45.092462,,allowed
glm_4_plus,Zhipu AI,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 3.69e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Limited computational resources for 1e25+ FLOP training runs,https://www.superclueai.com/ (SuperCLUE - Comprehensive Chinese language understanding benchmark),,2025-08-15T20:32:45.053131,,allowed
hunyuan_large,Tencent,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 3.88e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Limited evidence of computational budget allocation for frontier AI models,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.055156,,allowed
hunyuan_large_vision,Tencent,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 3.73e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Limited evidence of computational budget allocation for frontier AI models,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.058551,,allowed
hunyuan_pro,Tencent,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 3.60e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Limited evidence of computational budget allocation for frontier AI models,https://www.superclueai.com/ (SuperCLUE - Comprehensive Chinese language understanding benchmark),,2025-08-15T20:32:45.091146,,allowed
hunyuan_standard,Tencent,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 3.71e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Limited evidence of computational budget allocation for frontier AI models,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.057458,,allowed
hunyuan_standard_256k,Tencent,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 3.25e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Limited evidence of computational budget allocation for frontier AI models,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.062707,,allowed
hunyuan_turbo,Tencent,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 4.08e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Limited evidence of computational budget allocation for frontier AI models,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.053266,,allowed
hunyuan_turbos,Tencent,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 4.59e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Limited evidence of computational budget allocation for frontier AI models,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.048221,,allowed
internlm_3,Unknown,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 2.65e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Models with unidentified developers cannot be evaluated for resource availability,https://www.superclueai.com/ (SuperCLUE - Comprehensive Chinese language understanding benchmark),,2025-08-15T20:32:45.092318,,allowed
jamba_1.5_large,AI21 Labs,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 2.39e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Limited access to large-scale GPU infrastructure,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.059332,,allowed
jamba_1.5_mini,AI21 Labs,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 3.00e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Limited access to large-scale GPU infrastructure,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.062548,,allowed
lumiere,Unknown,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 1.10e+25 (Medium),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Models with unidentified developers cannot be evaluated for resource availability,https://physics-iq.github.io/ (Physics-IQ - Benchmark for physical understanding in video generation models),,2025-08-15T20:32:45.090324,,allowed
minimax_01,MiniMax,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 3.36e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Limited computational resources for 1e25+ FLOP training runs,https://www.superclueai.com/ (SuperCLUE - Comprehensive Chinese language understanding benchmark),,2025-08-15T20:32:45.091649,,allowed
minimax_m1,MiniMax,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 5.09e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Limited computational resources for 1e25+ FLOP training runs,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.048367,,allowed
moonshot,Unknown,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 3.30e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Models with unidentified developers cannot be evaluated for resource availability,https://www.superclueai.com/ (SuperCLUE - Comprehensive Chinese language understanding benchmark),,2025-08-15T20:32:45.091831,,allowed
o4_mini,Unknown,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 5.47e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Models with unidentified developers cannot be evaluated for resource availability,https://www.superclueai.com/ (SuperCLUE - Comprehensive Chinese language understanding benchmark),,2025-08-15T20:32:45.047366,,allowed
openchat,OpenChat,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 2.28e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Open source project with limited computational resources,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.070595,,allowed
phi_3_medium_4k,Microsoft,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 1.87e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Primarily partners with OpenAI rather than training proprietary frontier models,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.068355,,allowed
phi_3_mini_128k,Microsoft,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 2.35e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Primarily partners with OpenAI rather than training proprietary frontier models,CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.074072,,allowed
phi_3_mini_4k,Microsoft,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 2.29e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Primarily partners with OpenAI rather than training proprietary frontier models,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.074324,,allowed
phi_3_mini_4k_instruct_june,Microsoft,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 2.42e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Primarily partners with OpenAI rather than training proprietary frontier models,CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.073021,,allowed
phi_3_mini_4k_instruct_june_24,Microsoft,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 2.30e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Primarily partners with OpenAI rather than training proprietary frontier models,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.088924,,allowed
phi_3_small_8k,Microsoft,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 2.47e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Primarily partners with OpenAI rather than training proprietary frontier models,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.071453,,allowed
phi_4,Microsoft,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 2.99e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Primarily partners with OpenAI rather than training proprietary frontier models,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.062100,,allowed
pika,Pika Labs,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 1.10e+25 (Medium),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Limited computational resources for 1e25+ FLOP training runs,https://physics-iq.github.io/ (Physics-IQ - Benchmark for physical understanding in video generation models),,2025-08-15T20:32:45.090609,,allowed
reka_core,Reka AI,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 3.34e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Smaller AI company with limited computational budget,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.059461,,allowed
reka_flash,Reka AI,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 3.12e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Smaller AI company with limited computational budget,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.060399,,allowed
snowflake_arctic,Snowflake,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 2.38e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Data platform company without large-scale AI model training focus,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.071170,,allowed
step_1o_turbo,StepFun,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 4.33e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Limited computational resources for 1e25+ FLOP training runs,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.077989,,allowed
step_2,StepFun,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 4.02e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Limited computational resources for 1e25+ FLOP training runs,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.053816,,allowed
step_2_16k,StepFun,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 3.41e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Limited computational resources for 1e25+ FLOP training runs,https://www.superclueai.com/ (SuperCLUE - Comprehensive Chinese language understanding benchmark),,2025-08-15T20:32:45.091465,,allowed
videopoet,Unknown,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 1.10e+25 (Medium),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Models with unidentified developers cannot be evaluated for resource availability,https://physics-iq.github.io/ (Physics-IQ - Benchmark for physical understanding in video generation models),,2025-08-15T20:32:45.090202,,allowed
yi_large,01 AI,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 2.36e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Limited computational resources for 1e25 FLOP training runs,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.087723,,allowed
yi_lightning,01 AI,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 3.67e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Limited computational resources for 1e25 FLOP training runs,https://www.superclueai.com/ (SuperCLUE - Comprehensive Chinese language understanding benchmark),,2025-08-15T20:32:45.055009,,allowed
yi_lightning_lite,01 AI,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 3.73e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Limited computational resources for 1e25 FLOP training runs,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.086799,,allowed
seedance,Unknown,,,,9.25e+24,low,Distant benchmark interpolation or single source,benchmark_based,,high_confidence_below_1e25,Multi-benchmark estimation from 2 benchmarks: video_arena_elo: 9.31e+24 (Low); video_quality: 9.19e+24 (Low) → weighted average: 9.25e+24 FLOP,https://artificialanalysis.ai/text-to-video/arena (Artificial Analysis Video Arena - Text-to-video model rankings),,2025-08-15T20:32:45.093004,,allowed
waver,Unknown,,,,8.81e+24,low,Distant benchmark interpolation or single source,benchmark_based,,high_confidence_below_1e25,Multi-benchmark estimation from 2 benchmarks: video_arena_elo: 8.90e+24 (Low); video_quality: 8.72e+24 (Low) → weighted average: 8.81e+24 FLOP,https://artificialanalysis.ai/text-to-video/arena (Artificial Analysis Video Arena - Text-to-video model rankings),,2025-08-15T20:32:45.093046,,allowed
deepseek_coder_v2,DeepSeek,,236000000000.0,known_specification:deepseek_coder_v2,8.50e+24,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 3.26e+25 (Low),high_confidence_below_1e25,"Known model specification 'deepseek_coder_v2': Chinchilla scaling law: 6 × 236,000,000,000 params × 6,000,000,000,000 tokens = 8.50e+24 FLOP",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.061465,,allowed
runway_gen3,Unknown,,,,7.87e+24,medium,Good benchmark match with multiple agreeing sources,benchmark_based,,high_confidence_below_1e25,Multi-benchmark estimation from 2 benchmarks: video_arena_elo: 8.22e+24 (Low); video_quality: 7.52e+24 (Low) → weighted average: 7.87e+24 FLOP,https://artificialanalysis.ai/text-to-video/arena (Artificial Analysis Video Arena - Text-to-video model rankings),,2025-08-04T18:55:00.258921,,allowed
kling,Unknown,,,,7.35e+24,low,Distant benchmark interpolation or single source,benchmark_based,,high_confidence_below_1e25,Multi-benchmark estimation from 2 benchmarks: video_arena_elo: 7.76e+24 (Low); video_quality: 6.93e+24 (Low) → weighted average: 7.35e+24 FLOP,https://artificialanalysis.ai/text-to-video/arena (Artificial Analysis Video Arena - Text-to-video model rankings),,2025-08-15T20:32:45.093120,,allowed
llama_3.1_70b,Meta,,70000000000.0,known_specification:llama_3.1_70b,6.30e+24,high,Known parameters with documented training tokens,scaling_laws,Benchmark Based: 2.16e+25 (Low),high_confidence_below_1e25,"Known model specification 'llama_3.1_70b': Chinchilla scaling law: 6 × 70,000,000,000 params × 15,000,000,000,000 tokens = 6.30e+24 FLOP",https://www.superclueai.com/ (SuperCLUE - Comprehensive Chinese language understanding benchmark),,2025-08-15T20:32:45.058923,,allowed
llama_3_70b,Meta,,70000000000.0,known_specification:llama_3_70b,6.30e+24,high,Known parameters with documented training tokens,scaling_laws,Benchmark Based: 2.26e+25 (Low),high_confidence_below_1e25,"Known model specification 'llama_3_70b': Chinchilla scaling law: 6 × 70,000,000,000 params × 15,000,000,000,000 tokens = 6.30e+24 FLOP",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.060714,,allowed
llama_3.1_nemotron_ultra_253b,Nvidia,,253000000000.0,extracted_from_name,5.76e+24,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 4.17e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 253,000,000,000 params × 3,795,000,000,000 tokens = 5.76e+24 FLOP (Modern large model: 253B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.787773,,
llama_3.1_nemotron_ultra_253b_v1,Meta,,253000000000.0,extracted_from_name,5.76e+24,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 4.59e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 253,000,000,000 params × 3,795,000,000,000 tokens = 5.76e+24 FLOP (Modern large model: 253B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.050561,,allowed
qwen3_235b_a22b,Alibaba,,235000000000.0,extracted_from_name,4.97e+24,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 6.30e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 235,000,000,000 params × 3,525,000,000,000 tokens = 4.97e+24 FLOP (Modern large model: 235B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.047268,,allowed
deepseek_r1,DeepSeek,,671000000000.0,known_specification:deepseek_r1,3.00e+24,high,Official disclosure or high-precision research estimate,epoch_estimate,Scaling Laws: 6.04e+25 (Low); Benchmark Based: 5.10e+25 (Low),high_confidence_below_1e25,https://epoch.ai/gradient-updates/what-went-into-training-deepseek-r1,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.046461,,allowed
falcon_180b,TII,,180000000000.0,extracted_from_name,2.92e+24,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 2.40e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 180,000,000,000 params × 2,700,000,000,000 tokens = 2.92e+24 FLOP (Generic estimate: 180B params * 15 tokens/param)",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.072670,,allowed
zephyr_orpo_141b,HuggingFace,,141000000000.0,extracted_from_name,1.79e+24,low,Extracted parameters with uncertain training tokens,scaling_laws,Benchmark Based: 2.66e+25 (Medium),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 141,000,000,000 params × 2,115,000,000,000 tokens = 1.79e+24 FLOP (Generic estimate: 141B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.809406,,
gpt_oss_120b,OpenAI,,120000000000.0,extracted_from_name,1.30e+24,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 5.74e+25 (Low),high_confidence_below_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 120,000,000,000 params × 1,800,000,000,000 tokens = 1.30e+24 FLOP (Generic estimate: 120B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.077717,,allowed
